Central,North,South,East,West,flat_type,storey_range,floor_area_sqm,remaining_lease_decimal,resale_price
1,0,0,0,0,3,1,73,50.03,465000
1,0,0,0,0,4,1,104,64.08,840000
1,0,0,0,0,6,1,154,64.08,1288000
1,0,0,0,0,2,1,52,59.02,370800
1,0,0,0,0,3,1,65,57.07,418000
1,0,0,0,0,3,1,65,53.11,420000
1,0,0,0,0,3,1,66,57.07,410000
1,0,0,0,0,3,1,65,53.1,360000
1,0,0,0,0,3,1,68,55.03,500000
1,0,0,0,0,3,1,57,50.08,400000
1,0,0,0,0,3,1,56,50.01,420000
1,0,0,0,0,3,1,56,50,365000
1,0,0,0,0,3,1,56,50,380000
1,0,0,0,0,3,2,59,53.02,475000
1,0,0,0,0,4,1,95,87.01,980000
1,0,0,0,0,4,1,93,87.01,1048000
1,0,0,0,0,4,2,95,87,1230000
1,0,0,0,0,4,2,95,87,1100000
1,0,0,0,0,4,2,95,87,1200000
1,0,0,0,0,4,1,85,79.01,626888
1,0,0,0,0,4,1,83,57.04,690000
1,0,0,0,0,4,1,103,61.05,700000
1,0,0,0,0,5,2,106,87,1340000
1,0,0,0,0,5,2,141,60.01,950000
1,0,0,0,0,2,1,45,55.02,230000
1,0,0,0,0,2,1,46,49.07,275000
1,0,0,0,0,2,1,42,45,238500
1,0,0,0,0,3,1,67,56.08,395000
1,0,0,0,0,3,1,60,62.01,360000
1,0,0,0,0,3,1,65,51.09,383000
1,0,0,0,0,3,1,67,54.01,386000
1,0,0,0,0,3,1,59,62.02,418000
1,0,0,0,0,3,1,54,47.02,315000
1,0,0,0,0,3,1,56,45.02,303000
1,0,0,0,0,3,1,67,92.11,630000
1,0,0,0,0,3,1,63.1,47.01,308000
1,0,0,0,0,3,1,59,45.01,260000
1,0,0,0,0,3,1,67,92.11,575000
1,0,0,0,0,3,2,67,92.11,620000
1,0,0,0,0,3,1,56,45.02,290000
1,0,0,0,0,3,1,67,92.11,605000
1,0,0,0,0,3,1,55,45.01,298000
1,0,0,0,0,3,1,56,45.01,290000
1,0,0,0,0,3,2,67,92.1,650000
1,0,0,0,0,3,1,61,45,305000
1,0,0,0,0,3,1,56,45,295000
1,0,0,0,0,3,1,59,53.05,328000
1,0,0,0,0,3,1,60,83,503000
1,0,0,0,0,3,1,59,53.06,305000
1,0,0,0,0,3,1,59,53.05,320000
1,0,0,0,0,3,1,59,53.05,312000
1,0,0,0,0,3,1,59,53.04,350000
1,0,0,0,0,3,1,74,60.03,426500
1,0,0,0,0,3,1,75,59.09,425000
1,0,0,0,0,3,1,59,52.08,338000
1,0,0,0,0,3,1,65,52.07,360000
1,0,0,0,0,3,1,65,52.07,360000
1,0,0,0,0,3,1,56,45.01,339000
1,0,0,0,0,3,1,56,45,290000
1,0,0,0,0,3,1,66,57.03,330000
1,0,0,0,0,3,1,65,53.02,400000
1,0,0,0,0,3,1,65,57.01,335000
1,0,0,0,0,3,1,68,92.11,588000
1,0,0,0,0,3,1,64,76.05,407000
1,0,0,0,0,3,1,63,76.05,405000
1,0,0,0,0,4,1,92,54.02,440000
1,0,0,0,0,4,1,92,54.01,455000
1,0,0,0,0,4,1,92,61.04,588000
1,0,0,0,0,4,1,93,92.11,806000
1,0,0,0,0,4,1,93,92.1,828000
1,0,0,0,0,4,1,118,43.01,600000
1,0,0,0,0,4,1,91,54.07,548000
1,0,0,0,0,4,1,91,54.06,510000
1,0,0,0,0,4,1,102,60.1,668888
1,0,0,0,0,4,1,104,60,635000
1,0,0,0,0,4,1,91,58.05,583888
1,0,0,0,0,4,1,92,52.07,535000
1,0,0,0,0,4,1,112,45.01,618000
1,0,0,0,0,4,1,91,56.08,320000
1,0,0,0,0,4,1,101,73.04,688000
1,0,0,0,0,4,1,93,61.02,550000
1,0,0,0,0,4,1,88,51.08,425000
1,0,0,0,0,4,1,84,62.05,468000
1,0,0,0,0,4,1,84,61.08,445000
1,0,0,0,0,4,1,84,61.06,471000
1,0,0,0,0,4,1,104,62.01,528000
1,0,0,0,0,4,1,87,61.05,480000
1,0,0,0,0,4,1,90,61.06,483000
1,0,0,0,0,4,1,84,61.09,485000
1,0,0,0,0,5,1,121,56.09,738888
1,0,0,0,0,5,1,117,53.05,620000
1,0,0,0,0,5,1,142,60.1,868000
1,0,0,0,0,6,1,146,63.05,960000
1,0,0,0,0,2,1,50,46.06,278000
1,0,0,0,0,3,2,68,94,728888
1,0,0,0,0,3,1,63,57.01,334000
1,0,0,0,0,3,1,69,88.06,535000
1,0,0,0,0,3,1,63,57.01,340000
1,0,0,0,0,3,2,68,94,720000
1,0,0,0,0,3,1,63,57.01,335000
1,0,0,0,0,3,1,73,50.1,385000
1,0,0,0,0,3,2,69,88.05,590000
1,0,0,0,0,3,1,70,87.02,635000
1,0,0,0,0,3,1,60,57.1,415000
1,0,0,0,0,3,1,59,50.03,330000
1,0,0,0,0,3,1,59,50.03,315000
1,0,0,0,0,3,1,76,50.07,436000
1,0,0,0,0,3,1,67,52.11,420000
1,0,0,0,0,3,1,155,48.07,1068000
1,0,0,0,0,3,1,56,47.01,288000
1,0,0,0,0,3,1,60,45.01,334000
1,0,0,0,0,3,2,67,93.11,559000
1,0,0,0,0,3,1,76,50.01,280000
1,0,0,0,0,3,1,62,60.1,398888
1,0,0,0,0,3,1,59,57.08,377000
1,0,0,0,0,3,1,59,57.09,420000
1,0,0,0,0,3,1,65,49.08,310000
1,0,0,0,0,3,1,65,49.07,305000
1,0,0,0,0,3,1,59,49.07,310000
1,0,0,0,0,3,2,68,94.01,705000
1,0,0,0,0,3,1,64,63.04,385000
1,0,0,0,0,3,1,68,54.11,445000
1,0,0,0,0,3,1,67,55.06,423000
1,0,0,0,0,3,1,68,57.06,380000
1,0,0,0,0,3,2,70,93.07,833000
1,0,0,0,0,3,2,70,93.07,675000
1,0,0,0,0,3,1,65,50.01,370000
1,0,0,0,0,3,1,65,50.01,373000
1,0,0,0,0,3,1,67,88.05,560000
1,0,0,0,0,3,1,66,56.11,365000
1,0,0,0,0,3,1,66,50.08,340000
1,0,0,0,0,3,1,76,50.02,380000
1,0,0,0,0,3,1,65,50.02,335000
1,0,0,0,0,3,1,68,48.01,400000
1,0,0,0,0,3,1,68,48.01,365000
1,0,0,0,0,3,1,68,48.01,375000
1,0,0,0,0,4,1,77,51.01,580000
1,0,0,0,0,4,1,89,88.05,755000
1,0,0,0,0,4,2,93,94,960000
1,0,0,0,0,4,2,93,94,1000000
1,0,0,0,0,4,2,93,93.11,915000
1,0,0,0,0,4,1,91,58.06,555000
1,0,0,0,0,4,2,90,80.06,792000
1,0,0,0,0,4,2,90,80.06,780000
1,0,0,0,0,4,2,90,80.06,798000
1,0,0,0,0,4,1,84,63.1,480000
1,0,0,0,0,4,1,103,60.06,595000
1,0,0,0,0,4,1,93,94,740888.88
1,0,0,0,0,4,1,93,93.11,710000
1,0,0,0,0,4,2,93,93.11,788000
1,0,0,0,0,4,1,93,93.11,760000
1,0,0,0,0,4,1,93,94.07,792000
1,0,0,0,0,4,1,93,94.01,940000
1,0,0,0,0,4,2,93,93.11,990000
1,0,0,0,0,4,1,84,48.07,603000
1,0,0,0,0,4,1,93,60.09,558000
1,0,0,0,0,4,1,105,59.04,725000
1,0,0,0,0,4,2,90,82.1,780000
1,0,0,0,0,4,1,101,75.07,600000
1,0,0,0,0,4,1,94,93.07,998000
1,0,0,0,0,4,1,95,93.07,880000
1,0,0,0,0,4,1,90,82.1,900000
1,0,0,0,0,4,2,90,82.08,790000
1,0,0,0,0,4,2,90,82.09,800000
1,0,0,0,0,4,1,91,50.01,425000
1,0,0,0,0,4,1,102,74.11,670000
1,0,0,0,0,4,2,91,50.03,510000
1,0,0,0,0,4,2,91,50.02,550000
1,0,0,0,0,4,1,103,73.11,635000
1,0,0,0,0,5,2,118,57.08,805000
1,0,0,0,0,5,2,107,86.11,1150000
1,0,0,0,0,5,2,117,52.07,700000
1,0,0,0,0,5,1,114,52.07,685000
1,0,0,0,0,5,2,110,79.03,1200000
1,0,0,0,0,5,1,118,58,650000
1,0,0,0,0,5,2,118,58.06,798000
1,0,0,0,0,5,2,117,51.01,765000
1,0,0,0,0,5,1,117,52.08,595000
1,0,0,0,0,5,1,121,70.11,670000
1,0,0,0,0,6,1,141,62,850000
1,0,0,0,0,6,1,154,60.07,962800
1,0,0,0,0,6,1,140,64,895000
1,0,0,0,0,3,1,65,51.06,422000
1,0,0,0,0,3,1,65,51.05,412000
1,0,0,0,0,3,2,76,51.05,590000
1,0,0,0,0,3,2,76,51.04,525000
1,0,0,0,0,3,1,65,52.04,445000
1,0,0,0,0,3,1,65,51.05,415000
1,0,0,0,0,3,1,76,51.01,475000
1,0,0,0,0,3,1,76,51.01,480000
1,0,0,0,0,3,1,65,51,438000
1,0,0,0,0,4,1,87,52.02,550000
1,0,0,0,0,4,1,82,51.03,518000
1,0,0,0,0,5,1,123,51.02,750000
1,0,0,0,0,5,2,126,51.03,890000
1,0,0,0,0,5,2,126,53.01,970000
1,0,0,0,0,5,1,120,53,745000
1,0,0,0,0,5,2,121,51.05,975000
1,0,0,0,0,5,1,117,51.01,845000
1,0,0,0,0,2,1,46,43.01,250000
1,0,0,0,0,2,1,43,46.06,275000
1,0,0,0,0,2,2,47,89.04,442000
1,0,0,0,0,3,1,67,46.07,330000
1,0,0,0,0,3,1,60,45,295888
1,0,0,0,0,3,1,69,43.01,320000
1,0,0,0,0,3,1,60,43.01,330000
1,0,0,0,0,3,2,65,92.04,680000
1,0,0,0,0,3,1,65,92.07,665000
1,0,0,0,0,3,1,65,54.01,385000
1,0,0,0,0,3,1,65,51.07,420000
1,0,0,0,0,3,1,65,51.07,355000
1,0,0,0,0,3,2,68,94.06,665000
1,0,0,0,0,3,2,68,94.05,695000
1,0,0,0,0,3,1,65,53.05,403888
1,0,0,0,0,3,1,65,50.05,418000
1,0,0,0,0,3,1,65,51.02,430000
1,0,0,0,0,3,1,65,51.01,400000
1,0,0,0,0,3,1,72,46.07,425000
1,0,0,0,0,3,1,72,46.07,385000
1,0,0,0,0,3,1,69,46.01,365000
1,0,0,0,0,3,1,76,49.05,415188
1,0,0,0,0,3,1,66,46.01,345000
1,0,0,0,0,3,1,60,47.01,375000
1,0,0,0,0,3,1,69,87.08,600000
1,0,0,0,0,3,2,60,84.08,618000
1,0,0,0,0,3,2,60,84.07,628000
1,0,0,0,0,4,2,83,92.08,990000
